index,S:all,E:all,I:all,beta:all,v:all,k:all,vol:all,rep:all,phi:all,log_like
0,0.780544,7.0998e-06,2.43496e-07,1.62879,1.02757,1.56138,0.192805,0.1,0.1,-158.055
1,0.656786,1.78244e-05,1.82279e-07,1.8745,1.12622,1.61727,0.163001,0.1,0.1,-140.031
2,0.656786,1.78244e-05,1.82279e-07,1.8745,1.12622,1.61727,0.163001,0.1,0.1,-140.031
3,0.656786,1.78244e-05,1.82279e-07,1.8745,1.12622,1.61727,0.163001,0.1,0.1,-140.031
4,0.656786,1.78244e-05,1.82279e-07,1.8745,1.12622,1.61727,0.163001,0.1,0.1,-140.031
5,0.656786,1.78244e-05,1.82279e-07,1.8745,1.12622,1.61727,0.163001,0.1,0.1,-140.031
6,0.656786,1.78244e-05,1.82279e-07,1.8745,1.12622,1.61727,0.163001,0.1,0.1,-140.031
7,0.560849,4.77062e-05,3.55818e-07,2.82046,0.940961,1.5855,0.268032,0.1,0.1,-132.499
8,0.560849,4.77062e-05,3.55818e-07,2.82046,0.940961,1.5855,0.268032,0.1,0.1,-132.499
9,0.560849,4.77062e-05,3.55818e-07,2.82046,0.940961,1.5855,0.268032,0.1,0.1,-132.499
10,0.560849,4.77062e-05,3.55818e-07,2.82046,0.940961,1.5855,0.268032,0.1,0.1,-132.499
11,0.560849,4.77062e-05,3.55818e-07,2.82046,0.940961,1.5855,0.268032,0.1,0.1,-132.499
12,0.560849,4.77062e-05,3.55818e-07,2.82046,0.940961,1.5855,0.268032,0.1,0.1,-132.499
13,0.594572,7.5224e-06,6.73596e-07,2.5443,0.932603,1.59055,0.307414,0.1,0.1,-133.061
14,0.566405,1.25298e-05,1.66646e-07,2.40803,0.934285,1.59372,0.302834,0.1,0.1,-131.769
15,0.566405,1.25298e-05,1.66646e-07,2.40803,0.934285,1.59372,0.302834,0.1,0.1,-131.769
16,0.566405,1.25298e-05,1.66646e-07,2.40803,0.934285,1.59372,0.302834,0.1,0.1,-131.769
17,0.569675,5.51645e-05,1.20709e-07,2.21935,0.980417,1.59858,0.283965,0.1,0.1,-133.508
18,0.569675,5.51645e-05,1.20709e-07,2.21935,0.980417,1.59858,0.283965,0.1,0.1,-133.508
19,0.569675,5.51645e-05,1.20709e-07,2.21935,0.980417,1.59858,0.283965,0.1,0.1,-133.508
20,0.569675,5.51645e-05,1.20709e-07,2.21935,0.980417,1.59858,0.283965,0.1,0.1,-133.508
21,0.569675,5.51645e-05,1.20709e-07,2.21935,0.980417,1.59858,0.283965,0.1,0.1,-133.508
22,0.610316,1.35453e-05,1.75153e-07,1.78099,0.967501,1.61033,0.379267,0.1,0.1,-132.888
