index,S:all,E:all,I:all,beta:all,v:all,k:all,vol:all,rep:all,phi:all,log_like
0,0.733184,2.0095e-05,4.38202e-05,1.34303,1.18981,1.58075,0.216383,0.1,0.1,-143.666
1,0.733184,2.0095e-05,4.38202e-05,1.34303,1.18981,1.58075,0.216383,0.1,0.1,-143.666
2,0.65769,7.946e-06,3.01382e-05,1.57349,1.20208,1.56967,0.257475,0.1,0.1,-132.245
3,0.65769,7.946e-06,3.01382e-05,1.57349,1.20208,1.56967,0.257475,0.1,0.1,-132.245
4,0.65769,7.946e-06,3.01382e-05,1.57349,1.20208,1.56967,0.257475,0.1,0.1,-132.245
5,0.65769,7.946e-06,3.01382e-05,1.57349,1.20208,1.56967,0.257475,0.1,0.1,-132.245
6,0.65769,7.946e-06,3.01382e-05,1.57349,1.20208,1.56967,0.257475,0.1,0.1,-132.245
7,0.65769,7.946e-06,3.01382e-05,1.57349,1.20208,1.56967,0.257475,0.1,0.1,-132.245
8,0.65769,7.946e-06,3.01382e-05,1.57349,1.20208,1.56967,0.257475,0.1,0.1,-132.245
9,0.790801,2.66397e-05,6.75109e-05,1.40963,1.15622,1.58619,0.305288,0.1,0.1,-133.841
10,0.790801,2.66397e-05,6.75109e-05,1.40963,1.15622,1.58619,0.305288,0.1,0.1,-133.841
11,0.790801,2.66397e-05,6.75109e-05,1.40963,1.15622,1.58619,0.305288,0.1,0.1,-133.841
12,0.790801,2.66397e-05,6.75109e-05,1.40963,1.15622,1.58619,0.305288,0.1,0.1,-133.841
13,0.708087,3.34993e-05,5.34471e-05,1.54089,1.19914,1.59649,0.412403,0.1,0.1,-134.075
14,0.708087,3.34993e-05,5.34471e-05,1.54089,1.19914,1.59649,0.412403,0.1,0.1,-134.075
15,0.708087,3.34993e-05,5.34471e-05,1.54089,1.19914,1.59649,0.412403,0.1,0.1,-134.075
16,0.708087,3.34993e-05,5.34471e-05,1.54089,1.19914,1.59649,0.412403,0.1,0.1,-134.075
17,0.708087,3.34993e-05,5.34471e-05,1.54089,1.19914,1.59649,0.412403,0.1,0.1,-134.075
18,0.708087,3.34993e-05,5.34471e-05,1.54089,1.19914,1.59649,0.412403,0.1,0.1,-134.075
19,0.708087,3.34993e-05,5.34471e-05,1.54089,1.19914,1.59649,0.412403,0.1,0.1,-134.075
20,0.708087,3.34993e-05,5.34471e-05,1.54089,1.19914,1.59649,0.412403,0.1,0.1,-134.075
21,0.699919,2.52986e-05,1.65666e-05,1.52971,1.1137,1.60433,0.440338,0.1,0.1,-133.728
22,0.459579,3.87057e-05,8.00897e-06,2.08814,1.15292,1.61912,0.333353,0.1,0.1,-131.397
23,0.842837,4.52431e-05,5.02361e-06,1.21444,1.12791,1.59847,0.321932,0.1,0.1,-134.415
24,0.824743,3.15542e-05,1.3945e-06,1.3428,1.21506,1.59925,0.334864,0.1,0.1,-131.248
25,0.824743,3.15542e-05,1.3945e-06,1.3428,1.21506,1.59925,0.334864,0.1,0.1,-131.248
26,0.824743,3.15542e-05,1.3945e-06,1.3428,1.21506,1.59925,0.334864,0.1,0.1,-131.248
27,0.824743,3.15542e-05,1.3945e-06,1.3428,1.21506,1.59925,0.334864,0.1,0.1,-131.248
28,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
29,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
30,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
31,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
32,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
33,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
34,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
35,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
36,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
37,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
38,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
39,0.918576,3.49234e-05,1.89129e-06,1.16634,1.1391,1.59657,0.375486,0.1,0.1,-132.16
40,0.900758,0.000105749,1.19974e-06,1.17335,1.08846,1.58108,0.291267,0.1,0.1,-132.201
